N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
160,19,2032101939,512,96,0.0006591418230128784,0.0013586208636539548,3.319844650176797e-07,2.3937081882653714e-08,0.21395726324378025,0.24574293665876284,47.7771655963235,0.09501689998432994,1,35.915323166414915,67.9912999216438,67.99130865516433,100.0672833632946,117.84175692978684,117.84176409874651,149.9177445543545,149.91774814294672,186.75896359815204,186.75897217512133
216,0,2032109592,512,112,0.0005051790392183828,0.0007701040057338268,1.98958822891859e-07,1.2487538006087378e-08,0.21395728459906482,0.2457426137366175,98.6516266039725,0.1484480999642983,1,35.915301738724345,67.99128862879228,67.99129359755702,100.06728102009947,117.84174088140917,117.84174267080257,149.91772632794567,149.91772820004863,186.75889524350916,186.75891298190285
216,1,2032109593,512,114,0.0005297283134996445,0.0007603160823764606,2.169255213809595e-07,3.380816136080522e-08,0.2139572911462935,0.2457426016314806,71.15712432781824,0.142666699946858,1,35.91529652476834,67.99128260684779,67.99129345836711,100.06726269794682,117.8417357393506,117.84174118644442,149.91772582513298,149.9177308935747,186.75889612226098,186.75890080898475
216,2,2032109594,512,121,0.00047186900293489346,0.0010203251334572074,1.7404949129167511e-07,5.8745019521010056e-08,0.21395720656555947,0.24574266704227438,64.74266970833048,0.14938079996500164,1,35.91531100395724,67.99128784565212,67.99129804993348,100.06727759619083,117.84173246243766,117.84174370024127,149.91771565878085,149.91772446569897,186.75889950062088,186.75890397509727
216,3,2032109595,512,111,0.00044986697894115827,0.0008411007528985794,1.579087065597563e-07,6.500485664822972e-08,0.21395722985754756,0.24574265483645724,34.81330261929916,0.14719049993436784,1,35.9153027793027,67.99128734855309,67.99129226999284,100.06726819025987,117.84172745909608,117.84173685011035,149.91771230053118,149.91772204590967,186.75889525096358,186.7589070562573
216,4,2032109596,512,114,0.0005794306120290476,0.0009307505802061361,2.585377538953662e-07,1.2165843204135648e-07,0.21395724720769888,0.24574256392117833,46.73022479248625,0.1484143000561744,1,35.91530288516741,67.99128916931647,67.99129446037867,100.0672727957758,117.84172996895475,117.84174084171714,149.91771889323272,149.91773713198484,186.75889670722938,186.75891117290877
216,5,2032109597,512,117,0.0005206919625941531,0.0007928630691384593,2.1039181966511843e-07,9.443643336062303e-08,0.21395723066655364,0.24574250074716192,99.40350220637059,0.1473160000750795,1,35.91530116515689,67.99127767985189,67.99128712727375,100.06727634835568,117.84173472118381,117.8417401846593,149.91771575636446,149.9177299140572,186.7588800183986,186.7588820152682
216,6,2032109598,512,112,0.0005429462961774778,0.0010822851603338377,2.2677640904027196e-07,1.0280270809386849e-07,0.2139571988118821,0.2457424991092294,77.94179880729018,0.15251769998576492,1,35.915312078312176,67.99127949216282,67.99129138873877,100.06728019490748,117.84173096787045,117.84174616232562,149.91771695845173,149.91773237039712,186.75888222918346,186.7588954649763
216,7,2032109599,512,112,0.0005150904265885192,0.0011371188349996954,2.0531885301207928e-07,4.9120067635347645e-08,0.21395714894858056,0.2457426569295824,74.09235214870586,0.14193070004694164,1,35.915312552981135,67.99129409820507,67.99130539792607,100.06727841458617,117.84174138064496,117.8417584688275,149.91772178956222,149.9177291535297,186.75890267238012,186.75891346550796
216,8,2032109600,512,116,0.0005206780832344325,0.000829639700072895,2.0947651452806522e-07,8.444455009423001e-08,0.21395724837490201,0.24574266401451506,75.6378935708516,0.14715129998512566,1,35.9153011838375,67.99129132685964,67.99130066503606,100.06727917418561,117.84173677181174,117.84173889060418,149.91771711710416,149.91772977683675,186.75890435784396,186.758924977175
216,9,2032109601,512,111,0.0005306243696335383,0.0008832472139107496,2.17644076905932e-07,7.141043443246771e-08,0.21395722750494503,0.24574267761842572,61.505829672283795,0.14437110000289977,1,35.91530518757998,67.99129205285931,67.9913025502885,100.06727749970874,117.84174061949284,117.84174519788687,149.91772029561093,149.9177310012989,186.7589076217731,186.75891178690742
216,10,2032109602,512,105,0.0006378006902348415,0.0012394744025739405,3.111744495309987e-07,4.774118236159176e-08,0.21395722756977906,0.2457427251511241,78.3879768547183,0.15512640005908906,1,35.91531998422687,67.99129878254519,67.99131488580257,100.06728552119303,117.84175030742743,117.84176275846508,149.91773786590892,149.9177450231571,186.75892876962402,186.75894606585604
216,11,2032109603,512,110,0.00047495371770681923,0.0010329058520237952,1.7514315032261763e-07,1.8723584477799807e-08,0.21395722839188727,0.24574259307709226,38.32899480921516,0.14167869999073446,1,35.91531131137991,67.99128958904777,67.99129659040885,100.0672793508231,117.84174272344148,117.84174659196871,149.91772182266112,149.9177246296578,186.75888857588987,186.75890332228556
216,12,2032109604,512,111,0.0005299502883065583,0.0009501605339885279,2.1667304563244475e-07,4.033628822593431e-08,0.21395719071446745,0.2457426713284204,38.63678054851705,0.15172520000487566,1,35.915305923078876,67.99129034604971,67.99129450912557,100.06728195151197,117.84174798000697,117.84175522642029,149.91772480860064,149.91773085572413,186.7589065332152,186.75890859688778
216,13,2032109605,512,116,0.000480511359060692,0.000888674518959466,1.7999973689728275e-07,2.909050641309069e-08,0.21395724595938304,0.24574263389873868,70.7044919067651,0.14807450002990663,1,35.915304090675356,67.99128408290726,67.99129563681359,100.06727794045764,117.84173825745899,117.84174313219339,149.91772099656433,149.9177253577461,186.75889542386543,186.75890760808724
216,14,2032109606,512,104,0.0006368248984338599,0.0010274255923876134,3.108825632696343e-07,7.517539505444083e-08,0.21395730132927293,0.24574267641695893,57.35724228424552,0.14831670001149178,1,35.915307153475815,67.99130211271824,67.99130746147642,100.0672812845524,117.84174613090173,117.84174754397858,149.91773370927598,149.91774497939818,186.75892141975123,186.75892969690432
216,15,2032109607,512,112,0.0005437803237704583,0.000994864353311683,2.2779735367396802e-07,6.746580421695413e-08,0.21395722815426793,0.24574250194793218,58.48186473467817,0.14799930003937334,1,35.91530729348504,67.99128050251404,67.99129047212949,100.0672706831188,117.84173779882009,117.84174721406764,149.9177224091367,149.9177325234548,186.7588828078129,186.7588993466565
216,16,2032109608,512,115,0.0005085631383502825,0.0009310274770213332,2.0096884265288893e-07,4.796002586954316e-08,0.21395724807801306,0.24574255104254747,134.63837102050937,0.15115849999710917,1,35.91530452166549,67.99128221673357,67.9912953126141,100.06727776928265,117.84173401905008,117.8417431293384,149.91772131132947,149.91772850138616,186.758886145896,186.75890441940385
