N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
672,24,2031172088,512,157,0.0003304768646626,0.0005447429825189,8.690906218526573e-08,3.9695100580000296e-08,0.2139572701400772,0.2457424876042127,75.5024542317462,0.855886899982579,1,35.9152971754838,67.99127512770731,67.99127750290076,100.06725550604332,117.84172339860316,117.84172396132332,149.91770545080828,149.9177114018064,186.7588595357871,186.7588673518153
672,25,2031172089,512,172,0.0002218181982853,0.00055399760274,3.97254706816736e-08,3.183161648721033e-09,0.2139572641278542,0.2457425299075266,77.71590206886607,0.9125439999625088,1,35.91529728766931,67.99127547867543,67.99127751085092,100.0672550321058,117.8417231113548,117.84172326279236,149.9177038509387,149.91770432815096,186.75885880414717,186.7588691194397
672,26,2031172090,512,178,0.0001873544101724,0.0004936528311329,2.85011271898601e-08,5.9563747943282435e-09,0.2139572530757249,0.2457425685865241,89.34860737997838,0.8995068999938667,1,35.91529607415297,67.99127521155737,67.99127691343506,100.06725521464855,117.841722274568,117.84172282122069,149.91770175245722,149.91770264542322,186.75886292008568,186.7588669242284
672,27,2031172091,512,163,0.0002973964989399,0.0004930102884094,7.051388616747264e-08,1.0807983322676445e-08,0.2139572808269393,0.2457425525355602,67.11945527458502,0.9178279999177904,1,35.91529604457876,67.99127765607653,67.99127892619481,100.0672596278227,117.84172264187453,117.84172423193664,149.91770732357136,149.91770894387935,186.75886681221823,186.75887061149425
672,28,2031172092,512,166,0.0002674926824568,0.0005957616623012,5.75038993756524e-08,1.4967600946587532e-08,0.2139572565862536,0.2457425550025021,108.27947792757575,0.9316215000580996,1,35.915297908236944,67.99127519786065,67.99127820483581,100.06725751802428,117.84172429840902,117.84172529201686,149.9177047495438,149.91770699345207,186.7588652316292,186.75886612377775
672,29,2031172093,512,161,0.0003168955228952,0.000585668884845,8.017713022128124e-08,3.910805738718775e-09,0.2139572891237682,0.2457425590830959,183.35169154835725,0.964096000068821,1,35.91529777887335,67.99127740201727,67.99127902731361,100.06726054251234,117.84172439767616,117.84172547079544,149.91770980627166,149.91771039257063,186.75886924250105,186.75887132371764
672,30,2031172094,512,164,0.0002539470429345,0.0005991342060029,5.182617744459808e-08,2.3268445405352484e-08,0.213957233486254,0.2457425455060427,113.65035329674365,0.9186150000896304,1,35.915298221463864,67.99127594726981,67.99127930123714,100.06725826360784,117.84172391036395,117.84172665948114,149.9177026539093,149.91770614226107,186.75886295675087,186.75887419054135
672,31,2031172095,512,163,0.0001889801689728,0.0005279698032384,2.8949468908369968e-08,2.3781316693869878e-09,0.2139572531255295,0.2457425546390748,52.66715915923504,0.87374969990924,1,35.91529697559787,67.99127497626384,67.99127583003818,100.06725634895244,117.84172322406954,117.84172341741042,149.91770235611355,149.91770271263758,186.75886089633053,186.7588647219769
672,32,2031172096,512,162,0.0002333171598943,0.0005619453882211,4.3843493617564925e-08,4.8924111424281355e-09,0.2139572577102977,0.2457425361755683,325.5526417496922,0.9124618000350893,1,35.91529757687064,67.99127532739017,67.99127676491729,100.06725658781971,117.84172290753176,117.84172458601545,149.91770421205646,149.91770494551548,186.75886036120204,186.7588637392246
672,33,2031172097,512,170,0.0002397300658375,0.0005242749948533,4.613371266291407e-08,1.3760971279879784e-08,0.2139572530560028,0.2457425290723412,495.8710593827815,0.9154969999799504,1,35.91529671221495,67.99127500107531,67.99127577454959,100.06725607316892,117.84172300267886,117.84172429756686,149.9177032258467,149.91770528885985,186.75885963964691,186.75886144140452
