problem,dim,potential,potential_scale,law,q,rho_used,N,rank,mass_cond_after_trunc,mass_truncation_tolerance,trial,seed,eigen_index,lambda_rfm,lambda_ref,rel_error,quad_order,assembly,integration_points,integration_scramble_seed,integration_backend,integration_dtype,integration_density,assembly_s,solve_s,total_s,omega_norm_max,boundary_factor,note
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,211,98944.69536799987,1e-05,1,21372900,2,177.32790957286971,181.89487396569749,0.02510771355595776,,qmc,200000,203508,torch,float64,uniform,1.5785499000921845,0.16933670034632087,1.7478866004385054,11.55097938292441,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,211,98944.69536799987,1e-05,1,21372900,3,178.4290278834464,181.89487396569749,0.019054116296343206,,qmc,200000,203508,torch,float64,uniform,1.5785499000921845,0.16933670034632087,1.7478866004385054,11.55097938292441,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,196,98265.63890814995,1e-05,2,21372997,1,149.94707196391582,151.00174383907776,0.006984501293481122,,qmc,200000,203508,torch,float64,uniform,1.5807505999691784,0.19896009983494878,1.7797106998041272,10.743115801896067,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,196,98265.63890814995,1e-05,2,21372997,2,176.65798211412547,181.89487396569749,0.028790761044533923,,qmc,200000,203508,torch,float64,uniform,1.5807505999691784,0.19896009983494878,1.7797106998041272,10.743115801896067,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,196,98265.63890814995,1e-05,2,21372997,3,178.30091157020146,181.89487396569749,0.019758458922673028,,qmc,200000,203508,torch,float64,uniform,1.5807505999691784,0.19896009983494878,1.7797106998041272,10.743115801896067,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,199,99304.01769240257,1e-05,3,21373094,1,149.73069652792063,151.00174383907776,0.00841743465235531,,qmc,200000,203508,torch,float64,uniform,1.5876998999156058,0.18211559997871518,1.769815499894321,8.904087106873934,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,199,99304.01769240257,1e-05,3,21373094,2,177.08035683567388,181.89487396569749,0.02646867954581032,,qmc,200000,203508,torch,float64,uniform,1.5876998999156058,0.18211559997871518,1.769815499894321,8.904087106873934,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,199,99304.01769240257,1e-05,3,21373094,3,178.52248107611373,181.89487396569749,0.018540340450823978,,qmc,200000,203508,torch,float64,uniform,1.5876998999156058,0.18211559997871518,1.769815499894321,8.904087106873934,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,200,99784.95864326078,1e-05,4,21373191,1,149.76062375762632,151.00174383907776,0.008219243366977939,,qmc,200000,203508,torch,float64,uniform,1.5877660000696778,0.16276439977809787,1.7505303998477757,16.736785069267864,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,512,200,99784.95864326078,1e-05,4,21373191,2,176.2443250117464,181.89487396569749,0.03106491585363026,,qmc,200000,203508,torch,float64,uniform,1.5877660000696778,0.16276439977809787,1.7505303998477757,16.736785069267864,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
