features,seed,repeat,retained,iterations,converged,wall_seconds,energy,mu1,mu2,energy_abs_error,mu1_abs_error,mu2_abs_error,virial_residual,wave_error_1,wave_error_2,retained_rank,complex_unknowns
512,2086156361,0,401,199,True,35.423449000008986,8.372716436716328,12.297695060004553,12.484511957427173,1.3170527431327628e-05,4.1058346322842e-05,4.2688660970569003e-05,5.996660329070716e-05,0.05355379901201907,0.07701498679505006,401,802
512,2086156361,1,401,199,True,35.50231799999892,8.372716436716328,12.297695060004553,12.484511957427173,1.3170527431327628e-05,4.1058346322842e-05,4.2688660970569003e-05,5.996660329070716e-05,0.05355379901201907,0.07701498679505006,401,802
512,2086156361,2,401,199,True,35.39132389999577,8.372716436716328,12.297695060004553,12.484511957427173,1.3170527431327628e-05,4.1058346322842e-05,4.2688660970569003e-05,5.996660329070716e-05,0.05355379901201907,0.07701498679505006,401,802
512,2086156403,0,418,206,True,37.022911699998076,8.372718591605867,12.29771749326374,12.484535649757564,1.5325416971023742e-05,6.349160550911392e-05,6.638099136146991e-05,3.782066296913189e-06,0.053404877294593645,0.07753971402110435,418,836
512,2086156403,1,418,206,True,37.6254387999943,8.372718591605867,12.29771749326374,12.484535649757564,1.5325416971023742e-05,6.349160550911392e-05,6.638099136146991e-05,3.782066296913189e-06,0.053404877294593645,0.07753971402110435,418,836
512,2086156403,2,418,206,True,36.758062500011874,8.372718591605867,12.29771749326374,12.484535649757564,1.5325416971023742e-05,6.349160550911392e-05,6.638099136146991e-05,3.782066296913189e-06,0.053404877294593645,0.07753971402110435,418,836
512,2086156445,0,407,187,True,36.61835949998931,8.372715047695252,12.297672261770709,12.484488174935176,1.1781506355390547e-05,1.8260112478074575e-05,1.890616897348707e-05,0.00013772481927179503,0.05326987043992297,0.07674711180916337,407,814
512,2086156445,1,407,187,True,35.048719500002335,8.372715047695252,12.297672261770709,12.484488174935176,1.1781506355390547e-05,1.8260112478074575e-05,1.890616897348707e-05,0.00013772481927179503,0.05326987043992297,0.07674711180916337,407,814
512,2086156445,2,407,187,True,35.27332530000422,8.372715047695252,12.297672261770709,12.484488174935176,1.1781506355390547e-05,1.8260112478074575e-05,1.890616897348707e-05,0.00013772481927179503,0.05326987043992297,0.07674711180916337,407,814
512,2086156487,0,411,237,True,39.72602229999029,8.372725105706504,12.297733374898824,12.484551910042958,2.183951760770242e-05,7.937324059348327e-05,8.264127675516875e-05,3.479331651230072e-05,0.05312606732167459,0.07674848555991858,411,822
512,2086156487,1,411,237,True,39.98445069999434,8.372725105706504,12.297733374898824,12.484551910042958,2.183951760770242e-05,7.937324059348327e-05,8.264127675516875e-05,3.479331651230072e-05,0.05312606732167459,0.07674848555991858,411,822
512,2086156487,2,411,237,True,42.923752200003946,8.372725105706504,12.297733374898824,12.484551910042958,2.183951760770242e-05,7.937324059348327e-05,8.264127675516875e-05,3.479331651230072e-05,0.05312606732167459,0.07674848555991858,411,822
1024,2086156109,0,617,206,True,55.68319110000448,8.372704341864413,12.297659491108318,12.484475017324506,1.0756755166596577e-06,5.489450087381442e-06,5.7485583031535725e-06,4.7638523178322734e-07,0.05304182172873729,0.07663792693808763,617,1234
1024,2086156109,1,617,206,True,51.612873100006254,8.372704341864413,12.297659491108318,12.484475017324506,1.0756755166596577e-06,5.489450087381442e-06,5.7485583031535725e-06,4.7638523178322734e-07,0.05304182172873729,0.07663792693808763,617,1234
1024,2086156109,2,617,206,True,51.78740349999862,8.372704341864413,12.297659491108318,12.484475017324506,1.0756755166596577e-06,5.489450087381442e-06,5.7485583031535725e-06,4.7638523178322734e-07,0.05304182172873729,0.07663792693808763,617,1234
1024,2086156151,0,625,210,True,53.60348740000336,8.372704803228721,12.297660583661802,12.484476165707834,1.5370398251945971e-06,6.582003571509176e-06,6.8969416311404075e-06,4.224049251558282e-06,0.053034923149496,0.07644731457444799,625,1250
1024,2086156151,1,625,210,True,53.63808879999851,8.372704803228721,12.297660583661802,12.484476165707834,1.5370398251945971e-06,6.582003571509176e-06,6.8969416311404075e-06,4.224049251558282e-06,0.053034923149496,0.07644731457444799,625,1250
1024,2086156151,2,625,210,True,53.67482280000695,8.372704803228721,12.297660583661802,12.484476165707834,1.5370398251945971e-06,6.582003571509176e-06,6.8969416311404075e-06,4.224049251558282e-06,0.053034923149496,0.07644731457444799,625,1250
1024,2086156193,0,606,211,True,50.703034200007096,8.372704426020526,12.297656789213537,12.48447217969622,1.1598316298488953e-06,2.7875553065825898e-06,2.910930017918645e-06,1.2955560975868446e-05,0.053062282098299614,0.07656392057415685,606,1212
1024,2086156193,1,606,211,True,50.16362369999115,8.372704426020526,12.297656789213537,12.48447217969622,1.1598316298488953e-06,2.7875553065825898e-06,2.910930017918645e-06,1.2955560975868446e-05,0.053062282098299614,0.07656392057415685,606,1212
1024,2086156193,2,606,211,True,50.63307919999352,8.372704426020526,12.297656789213537,12.48447217969622,1.1598316298488953e-06,2.7875553065825898e-06,2.910930017918645e-06,1.2955560975868446e-05,0.053062282098299614,0.07656392057415685,606,1212
1024,2086156235,0,616,241,True,53.8172157999943,8.372704331077855,12.297657195944868,12.484472604360032,1.0648889592346222e-06,3.194286637864252e-06,3.3355938295898113e-06,9.001705050554198e-06,0.05296430109148703,0.07670866206369277,616,1232
1024,2086156235,1,616,241,True,53.59132559999125,8.372704331077855,12.297657195944868,12.484472604360032,1.0648889592346222e-06,3.194286637864252e-06,3.3355938295898113e-06,9.001705050554198e-06,0.05296430109148703,0.07670866206369277,616,1232
1024,2086156235,2,616,241,True,53.58746150000661,8.372704331077855,12.297657195944868,12.484472604360032,1.0648889592346222e-06,3.194286637864252e-06,3.3355938295898113e-06,9.001705050554198e-06,0.05296430109148703,0.07670866206369277,616,1232
