"problem","dim","potential","potential_scale","law","q","rho_used","N","rank","mass_cond_after_trunc","mass_truncation_tolerance","trial","seed","eigen_index","lambda_rfm","lambda_ref","rel_error","quad_order","assembly","integration_points","integration_scramble_seed","integration_backend","integration_dtype","integration_density","assembly_s","solve_s","total_s","omega_norm_max","boundary_factor","note"
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","196","99650.67179591478","1e-05","0","21244803","3","182.1670593752978","181.89487396569749","0.0014963885659122832","","qmc","200000","203508","torch","float64","beta22","3.4464000002481043","0.12154150009155273","3.567941500339657","10.143528962825048","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","187","99652.94558865724","1e-05","1","21244900","1","150.9500136829146","151.00174383907776","0.00034257985933121743","","qmc","200000","203508","torch","float64","beta22","3.4336843001656234","0.10917240008711815","3.5428567002527416","10.543443384147416","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","187","99652.94558865724","1e-05","1","21244900","2","181.8229087004194","181.89487396569749","0.00039564207450764455","","qmc","200000","203508","torch","float64","beta22","3.4336843001656234","0.10917240008711815","3.5428567002527416","10.543443384147416","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","187","99652.94558865724","1e-05","1","21244900","3","182.42678742419977","181.89487396569749","0.0029242905360961327","","qmc","200000","203508","torch","float64","beta22","3.4336843001656234","0.10917240008711815","3.5428567002527416","10.543443384147416","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","177","98757.77190741844","1e-05","2","21244997","1","150.96154915409912","151.00174383907776","0.0002661868926591966","","qmc","200000","203508","torch","float64","beta22","3.45898550003767","0.11351800011470914","3.5725035001523793","13.549556647794953","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","177","98757.77190741844","1e-05","2","21244997","2","182.1399735018168","181.89487396569749","0.001347479072805175","","qmc","200000","203508","torch","float64","beta22","3.45898550003767","0.11351800011470914","3.5725035001523793","13.549556647794953","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","177","98757.77190741844","1e-05","2","21244997","3","182.557450184963","181.89487396569749","0.003642632718668337","","qmc","200000","203508","torch","float64","beta22","3.45898550003767","0.11351800011470914","3.5725035001523793","13.549556647794953","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","175","99312.13933959072","1e-05","3","21245094","1","150.94596602300015","151.00174383907776","0.0003693852445641318","","qmc","200000","203508","torch","float64","beta22","3.5423094001598656","0.11466709990054369","3.6569765000604093","10.708792139535548","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","175","99312.13933959072","1e-05","3","21245094","2","182.31209485369638","181.89487396569749","0.002293747365731569","","qmc","200000","203508","torch","float64","beta22","3.5423094001598656","0.11466709990054369","3.6569765000604093","10.708792139535548","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","175","99312.13933959072","1e-05","3","21245094","3","182.42057319162","181.89487396569749","0.0028901266674599166","","qmc","200000","203508","torch","float64","beta22","3.5423094001598656","0.11466709990054369","3.6569765000604093","10.708792139535548","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","178","99154.00059538338","1e-05","4","21245191","1","150.93004498483356","151.00174383907776","0.00047482136577583616","","qmc","200000","203508","torch","float64","beta22","3.5770778004080057","0.11314259981736541","3.690220400225371","9.979916386122206","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","178","99154.00059538338","1e-05","4","21245191","2","182.08674447727398","181.89487396569749","0.0010548428737616885","","qmc","200000","203508","torch","float64","beta22","3.5770778004080057","0.11314259981736541","3.690220400225371","9.979916386122206","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","384","178","99154.00059538338","1e-05","4","21245191","3","182.75615370390537","181.89487396569749","0.004735041287476345","","qmc","200000","203508","torch","float64","beta22","3.5770778004080057","0.11314259981736541","3.690220400225371","9.979916386122206","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","512","191","99738.00701912754","1e-05","0","21372803","1","150.8796708417422","151.00174383907776","0.0008084211097962105","","qmc","200000","203508","torch","float64","beta22","4.902174999937415","0.35775560000911355","5.259930599946529","14.383699988401759","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","512","191","99738.00701912754","1e-05","0","21372803","2","181.88307522098424","181.89487396569749","6.486573511396168e-05","","qmc","200000","203508","torch","float64","beta22","4.902174999937415","0.35775560000911355","5.259930599946529","14.383699988401759","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","512","191","99738.00701912754","1e-05","0","21372803","3","182.51325695546714","181.89487396569749","0.0033996724387421397","","qmc","200000","203508","torch","float64","beta22","4.902174999937415","0.35775560000911355","5.259930599946529","14.383699988401759","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","512","211","98521.15004086941","1e-05","1","21372900","1","150.88103555871731","151.00174383907776","0.0007993833534073951","","qmc","200000","203508","torch","float64","beta22","4.627208100166172","0.312166600022465","4.939374700188637","11.55097938292441","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","512","211","98521.15004086941","1e-05","1","21372900","2","181.69986414636801","181.89487396569749","0.0010721017864761075","","qmc","200000","203508","torch","float64","beta22","4.627208100166172","0.312166600022465","4.939374700188637","11.55097938292441","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
"Ji2024 cube square","10","square","20.0","blind-tail","8.0","2.0","512","211","98521.15004086941","1e-05","1","21372900","3","181.8428774690401","181.89487396569749","0.0002858601538556092","","qmc","200000","203508","torch","float64","beta22","4.627208100166172","0.312166600022465","4.939374700188637","11.55097938292441","prod_i x_i(1-x_i)","No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law."
