potential,N,trial,seed,retained,method_s,evaluation_s,orthogonality_max,assembly_points,assembly_seed,density,final_evaluation,lambda_1,lambda_ref_1,rel_error_1,assembly_lambda_1,mass_1,lambda_2,lambda_ref_2,rel_error_2,assembly_lambda_2,mass_2,lambda_3,lambda_ref_3,rel_error_3,assembly_lambda_3,mass_3
exp,256,12,20817967,144,9.488775968551636,2.116338014602661,5.716726964694094e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.26415323449814,145.07515681305517,0.0013027483519215315,145.2583914604618,0.9999656944781521,177.74886398553065,175.80339130007061,0.011066184054091401,177.58071156644863,0.9999340157546031,178.06051395332008,175.80339130007061,0.012838902802488549,177.79297799527322,0.9999373879429647
exp,256,13,20818064,152,9.505440950393677,2.1130940914154053,9.632990059628915e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.25351653287984,145.07515681305517,0.001229429791721715,145.26268596935574,0.9999669469237539,177.40302587391568,175.80339130007061,0.009098997249232377,177.16973846526088,0.9998906242802474,177.72164423482815,175.80339130007061,0.010911353419134878,177.45509645209893,1.0000267142574422
exp,256,14,20818161,142,9.517399072647095,2.109541654586792,3.480829706471103e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.25242057083025,145.07515681305517,0.001221875348399611,145.24996277848763,0.9999699283507131,177.76606640321256,175.80339130007061,0.011164034371737169,177.5315433136022,0.9999952889395345,177.81528326149572,175.80339130007061,0.011443988347136617,177.6418428601255,0.9999428110245097
exp,256,15,20818258,145,9.52901816368103,2.153808832168579,4.5024808522533695e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.28812171164805,145.07515681305517,0.0014679625600356957,145.28089925773304,0.9999653827000741,177.53819237260032,175.80339130007061,0.00986784759782395,177.34081798021003,1.0000129888878933,177.76510772803593,175.80339130007061,0.011158581262047166,177.5347525527698,0.999976839520031
exp,256,16,20818355,136,9.496705293655396,2.110474109649658,4.1087862957315756e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.23550555514623,145.07515681305517,0.0011052805015932957,145.236072804094,0.9999692195245642,177.68482142516692,175.80339130007061,0.010701898929156468,177.42704185753027,0.9998887448272629,177.91318111966683,175.80339130007061,0.012000848242996144,177.85773202024308,0.9999927745615131
exp,256,17,20818452,148,9.506303071975708,2.139241933822632,4.484322621989481e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.2395621297891,145.07515681305517,0.0011332423851575597,145.24105930019638,0.999963079479131,177.76700377439005,175.80339130007061,0.01116936630060699,177.51216580301994,0.9998830474518795,177.88276683525623,175.80339130007061,0.011827846549538,177.70257814153,1.0000053472035466
exp,256,18,20818549,154,9.486718893051147,2.095999240875244,4.0853287553511875e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.24945825560783,145.07515681305517,0.0012014561719706912,145.25616398396988,0.9999714377831379,177.21011889771762,175.80339130007061,0.008001709109501352,176.99883343624816,0.9999727085136583,177.5463046452533,175.80339130007061,0.009913991603311986,177.21659497282943,0.9999955660330954
exp,256,19,20818646,155,9.524386167526245,2.1274290084838867,7.822268311888017e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.2319858217913,145.07515681305517,0.001081019053718687,145.22434354255256,0.9999617127722753,177.60136912741189,175.80339130007061,0.010227207871504515,177.29880963946366,0.9999426008224497,177.52734583987842,175.80339130007061,0.009806150649649691,177.3939469341838,0.999893201095292
exp,384,0,20944803,171,20.914679050445557,4.808705806732178,3.717092296554468e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.22593799457283,145.07515681305517,0.001039331508095185,145.22005993849643,0.9999641183328178,177.3804824479593,175.80339130007061,0.008970766355677583,177.17412317055144,0.9999290278149743,177.47093346622287,175.80339130007061,0.009485267342232375,177.20255566360393,1.0000623781097258
exp,384,1,20944900,163,20.896296501159668,4.85303807258606,2.9008968260752783e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.21539511644855,145.07515681305517,0.0009666596712632648,145.2086111894237,0.9999654494060697,177.37022376877104,175.80339130007061,0.008912413219754518,177.17566781070437,0.9999486183340374,177.41574108817804,175.80339130007061,0.009171323580188384,177.31147239375315,0.9999520515559639
exp,384,2,20944997,177,20.837742567062378,4.830219745635986,2.752619014234935e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.21741215211952,145.07515681305517,0.0009805630556557648,145.21995307034229,0.9999672029392543,177.19387711770253,175.80339130007061,0.007909323064528129,177.09191465653169,1.0000057114516434,177.28314521192817,175.80339130007061,0.00841709537520715,177.24255703050926,0.9999327824406092
exp,384,3,20945094,185,20.853950023651123,4.85627293586731,4.345050073972717e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.2164331041703,145.07515681305517,0.0009738144987648221,145.20955010272908,0.999966219143414,177.25925657979124,175.80339130007061,0.008281212716970162,177.00320561837864,0.999897872495104,177.36974321465618,175.80339130007061,0.008909679745096807,177.1861516956985,0.9999838162436125
exp,384,4,20945191,172,20.85343289375305,4.849092960357666,1.227887654160889e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.21606128253617,145.07515681305517,0.0009712515400729231,145.20782568489784,0.9999634783313529,177.32298283686052,175.80339130007061,0.008643698654232349,177.2890327109978,0.9999373281127525,177.476217342834,175.80339130007061,0.00951532294339025,177.36168400276824,0.9999496545661493
exp,384,5,20945288,190,21.00252056121826,4.840515613555908,4.3297734967284694e-05,4194304,203457,beta22,independent product integrals of fixed fields,145.2193410642788,145.07515681305517,0.000993859006538464,145.22125948773538,0.9999652398628918,177.14785878132062,175.80339130007061,0.007647562833160584,177.03037587184502,1.0000013857487438,177.31544120055156,175.80339130007061,0.008600800526652517,177.13818775412125,1.0000016812955184
