potential,N,seed,retained,device,largest_frequency,draw_s,assemble_s,eigensolve_s,method_s,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,trial,lambda_ref_1,rel_error_1,lambda_ref_2,rel_error_2,lambda_ref_3,rel_error_3,lambda_ref_4,rel_error_4,lambda_ref_5,rel_error_5,lambda_ref_6,rel_error_6,lambda_ref_7,rel_error_7,lambda_ref_8,rel_error_8,lambda_ref_9,rel_error_9,lambda_ref_10,rel_error_10,lambda_ref_11,rel_error_11,lambda_ref_12,rel_error_12,recorded_at
square,384,21245288,195,cpu,9.593735955136108,0.00030899999546818435,8.039515099997516,0.0365079000039259,8.07633199999691,150.90933479031168,181.67346141099117,182.26916614020988,182.4740284984335,182.76139021046652,183.12297901174853,183.4267416865861,183.7587445425397,183.88773047769965,184.57868187996692,185.73631892557435,213.42598647881132,5,151.0017431728773,0.0006119689787940197,181.8948733883238,0.0012172524338271682,181.8948733883238,0.0020577421722437327,181.8948733883238,0.003184010078575976,181.8948733883238,0.00476383311965488,181.8948733883238,0.006751733023299014,181.8948733883238,0.008421723326923869,181.8948733883238,0.010246969139348739,181.8948733883238,0.010956092671844296,181.8948733883238,0.014754723108185265,181.8948733883238,0.021119042366023907,212.78800360377028,0.0029982088474734985,1787841437.139215
square,384,21245385,190,cpu,9.133160710837517,0.00031909999961499125,8.658219999997527,0.045461699992301874,8.704000799989444,150.9179418020707,182.02441213777445,182.27514444211886,182.63972516824305,182.90288239606872,183.44328582095307,183.5479348654431,183.92996536986215,184.15824821664063,185.0992244454772,185.6196354953923,213.18662911654116,6,151.0017431728773,0.0005549695589319773,181.8948733883238,0.0007121627291502064,181.8948733883238,0.0020906089694085936,181.8948733883238,0.00409495752158495,181.8948733883238,0.005541712028315129,181.8948733883238,0.008512677701056489,181.8948733883238,0.009088004770701923,181.8948733883238,0.0111882866384787,181.8948733883238,0.012443312921111345,181.8948733883238,0.017616500110547433,181.8948733883238,0.020477554082113016,212.78800360377028,0.0018733457996680707,1787841445.8567529
square,384,21245482,180,cpu,9.38327127377412,0.0005635000125039369,10.795015099996817,0.04875829999218695,10.844336900001508,150.9451944974425,182.21020219025942,182.2880428978961,182.5867896550903,183.0430004464133,183.27709601879488,183.61764665859022,183.82949410254656,183.93471528264388,184.97583563311463,185.93556099700544,213.44160546669755,7,151.0017431728773,0.00037449021611671464,181.8948733883238,0.0017335771814879358,181.8948733883238,0.002161520565414437,181.8948733883238,0.0038039349536221822,181.8948733883238,0.006312036379598154,181.8948733883238,0.007599019173675176,181.8948733883238,0.009471257975415915,181.8948733883238,0.010635927655270362,181.8948733883238,0.011214400144006657,181.8948733883238,0.016938147774035135,181.8948733883238,0.02221441172811543,212.78800360377028,0.0030716104848858773,1787841456.7189984
square,384,21245579,170,cpu,15.9609179650633,0.00043220000225119293,9.03498209999816,0.036134299996774644,9.071548599997186,151.01361461589536,182.09068923352902,182.25012816607284,182.92484526664387,183.29200576533086,183.5200745758792,183.7020237180087,184.20349057786194,184.53301066682278,185.468364835286,186.1731482645784,213.44851881525406,8,151.0017431728773,7.861792035390426e-05,181.8948733883238,0.0010765330630687334,181.8948733883238,0.0019530774624451712,181.8948733883238,0.0056624568858585494,181.8948733883238,0.0076809882047877065,181.8948733883238,0.008934837784492115,181.8948733883238,0.009935136136722512,181.8948733883238,0.012692040993423342,181.8948733883238,0.014503637344780359,181.8948733883238,0.019645916239394122,181.8948733883238,0.023520590748706858,212.78800360377028,0.003104099856652258,1787841465.8043003
square,384,21245676,171,cpu,9.287930358979164,0.00029460000223480165,9.219418699998641,0.03880809999827761,9.258521399999154,151.01251956886654,182.4613542582527,182.68885331809975,183.05610810550053,183.27794164600186,183.30337961530256,183.63203734360127,183.98722664431537,184.24545787696982,185.49212398750655,186.45445320822867,213.67980236861194,9,151.0017431728773,7.136603699271173e-05,181.8948733883238,0.0031143311484075793,181.8948733883238,0.004365048420473652,181.8948733883238,0.0063840981086786455,181.8948733883238,0.007603668162353266,181.8948733883238,0.007743518004335287,181.8948733883238,0.009550373371814849,181.8948733883238,0.011503090862405226,181.8948733883238,0.012922763818790092,181.8948733883238,0.019776536480514532,181.8948733883238,0.02506711560897445,212.78800360377028,0.004191019934104338,1787841475.0735252
square,384,21245773,188,cpu,8.68536109440021,0.0002902999985963106,9.082285099997534,0.03864499999326654,9.121220399989397,150.958872907507,182.21568926273267,182.29229014988732,182.73924259985142,182.94786856150057,183.21786679256041,183.80185501480577,184.05616672958007,184.10361395616607,184.88013761591134,185.98102577179094,213.34624623856,10,151.0017431728773,0.00028390576472504944,181.8948733883238,0.0017637433558887372,181.8948733883238,0.002184870602235702,181.8948733883238,0.004642072620293193,181.8948733883238,0.005789031617888228,181.8948733883238,0.007273395778517595,181.8948733883238,0.010483976766133489,181.8948733883238,0.011882101463311612,181.8948733883238,0.01214295118217481,181.8948733883238,0.016412030597554927,181.8948733883238,0.022464362559266336,212.78800360377028,0.0026234685477346345,1787841484.208297
square,384,21245870,194,cpu,10.145395980030663,0.00029179999546613544,8.940350100005162,0.045649100007722154,8.98629100000835,150.89531770385895,181.7986772536221,182.19252271421863,182.46946464021983,182.70185038816197,183.18627111206104,183.28839210747952,183.6759884995913,184.16692600944367,184.87179202792558,186.25954424954168,212.71822011926645,11,151.0017431728773,0.0007047962942818759,181.8948733883238,0.0005288556676159437,181.8948733883238,0.0016363810609405817,181.8948733883238,0.0031589194417225522,181.8948733883238,0.004436502166366091,181.8948733883238,0.007099692804317075,181.8948733883238,0.007661121466467834,181.8948733883238,0.009792002809584727,181.8948733883238,0.012491020658231102,181.8948733883238,0.016366149216566574,181.8948733883238,0.023995568318738916,212.78800360377028,0.00032794839615946114,1787841493.2071242
square,384,21245967,172,cpu,9.774345658751537,0.00032390000706072897,9.08220099999744,0.039750900003127754,9.122275800007628,150.947306953782,182.08110256826657,182.4842345552096,182.5190555166365,183.00349531844117,183.3691487340219,183.883552596604,184.07185607135747,184.13652387703578,185.09501513702244,186.24570936943562,213.77392439624685,12,151.0017431728773,0.0003605006005326142,181.8948733883238,0.0010238286350446398,181.8948733883238,0.0032401197235922487,181.8948733883238,0.003431554263655199,181.8948733883238,0.006094849785846381,181.8948733883238,0.008105095642529278,181.8948733883238,0.010933124014081613,181.8948733883238,0.011968356460415944,181.8948733883238,0.012323879430765163,181.8948733883238,0.017593358675187815,181.8948733883238,0.02391950856043817,212.78800360377028,0.004633347631346958,1787841502.3418846
square,384,21246064,176,cpu,11.471731647305623,0.00028739999106619507,9.528485100003309,0.045275299999048,9.574047799993423,150.93223076713062,181.9386114771855,182.3661863621073,182.96260486680464,183.03200904099006,183.3774557282127,183.87811322021463,183.9521659910592,184.20396511798876,184.8304508308944,186.3451733116704,213.3825428020396,13,151.0017431728773,0.0004603417436518985,181.8948733883238,0.00024045806265435534,181.8948733883238,0.002591128408425866,181.8948733883238,0.005870047124425396,181.8948733883238,0.006251609138200532,181.8948733883238,0.008150764847142148,181.8948733883238,0.010903220057537641,181.8948733883238,0.011310338573112658,181.8948733883238,0.01269464986368987,181.8948733883238,0.01613886850072733,181.8948733883238,0.024466329591630448,212.78800360377028,0.0027940447215079587,1787841511.9277506
square,384,21246161,176,cpu,8.92793800671565,0.00031489999673794955,8.949937900004443,0.036443899996811524,8.986696699997992,150.9492712619943,181.65894520970997,182.32063149617386,182.38860169226663,182.95724540838356,183.15948141697675,183.39950918967196,184.10430732938178,184.20973499962096,185.1315708232461,186.2112018585951,213.69300586302165,14,151.0017431728773,0.0003474920870477114,181.8948733883238,0.0012970578786469693,181.8948733883238,0.0023406822848774274,181.8948733883238,0.0027143607444548162,181.8948733883238,0.005840582531381914,181.8948733883238,0.006952411605098794,181.8948733883238,0.008272007744473122,181.8948733883238,0.012146763126969048,181.8948733883238,0.012726370832646957,181.8948733883238,0.01779433017890701,181.8948733883238,0.02372979727172668,212.78800360377028,0.004253069928399574,1787841520.92829
square,384,21246258,188,cpu,8.205776673858463,0.000563900000997819,8.587917600001674,0.03614109999034554,8.624622599993018,150.9462884281795,181.97637783621093,182.15582538767381,182.85226972708705,183.04236296516524,183.31777554149045,183.70918945634742,183.84402229278288,184.16563929344625,184.90691516129561,186.04680709788028,213.10848691036398,15,151.0017431728773,0.00036724572533109834,181.8948733883238,0.00044808545930340296,181.8948733883238,0.0014346308639107482,181.8948733883238,0.005263459716752619,181.8948733883238,0.0063085317110158365,181.8948733883238,0.007822662215052838,181.8948733883238,0.00997453108065493,181.8948733883238,0.01071579901154165,181.8948733883238,0.01248394670406486,181.8948733883238,0.01655924500159759,181.8948733883238,0.022826007309687098,212.78800360377028,0.0015061154819163052,1787841529.5639617
square,384,21246355,175,cpu,14.68231498227787,0.0003006999904755503,8.772998500004178,0.03646149999985937,8.809760699994513,150.98773831536033,182.4049424827109,182.61817855918565,183.06827441047585,183.19474826000817,183.68530266594288,183.87270140218465,184.08835643592812,184.57090124054307,185.48713639478535,186.6761805706006,213.89715082437897,16,151.0017431728773,9.27463300932364e-05,181.8948733883238,0.002804197198555363,181.8948733883238,0.003976501137102931,181.8948733883238,0.0064509845730890535,181.8948733883238,0.007146297460013089,181.8948733883238,0.009843209125508144,181.8948733883238,0.010873467608064092,181.8948733883238,0.012059070202168414,181.8948733883238,0.014711947634204503,181.8948733883238,0.019749116286485506,181.8948733883238,0.026286101929158204,212.78800360377028,0.005212451838563319,1787841538.3864067
square,384,21246452,193,cpu,10.151827040556041,0.0002986999897984788,8.843980500008911,0.038352899995516054,8.882632099994225,150.84497652580018,181.87089950868716,182.07394086411864,182.5490271730065,182.56730294033656,182.87336136294994,183.28673220161636,183.60194281885913,183.95746623314167,184.6956200640576,185.6486267652464,212.74135057848594,17,151.0017431728773,0.0010381777308202508,181.8948733883238,0.00013180074396845073,181.8948733883238,0.0009844558698065373,181.8948733883238,0.0035963288711615606,181.8948733883238,0.003696803211035068,181.8948733883238,0.005379414803721232,181.8948733883238,0.007651995833445619,181.8948733883238,0.009384923273186224,181.8948733883238,0.011339477613613093,181.8948733883238,0.015397611947834067,181.8948733883238,0.02063693883724146,212.78800360377028,0.00021924650118535185,1787841547.2776933
square,384,21246549,181,cpu,12.857574374030643,0.0002868000010494143,9.069947399999364,0.040762499993434176,9.110996699993848,150.95182400778612,181.89449687810594,182.6103609333891,182.90681870935384,182.99635920383975,183.2008574661721,183.61362363308575,184.10973811748892,184.62449584902893,184.95609387576394,186.24480558941184,213.37045629776665,18,151.0017431728773,0.0003305866809367334,181.8948733883238,2.0699330928578543e-06,181.8948733883238,0.003933522323841612,181.8948733883238,0.005563352623301663,181.8948733883238,0.006055617703773415,181.8948733883238,0.0071798839270207915,181.8948733883238,0.009449140664303591,181.8948733883238,0.012176619867876416,181.8948733883238,0.015006593698095752,181.8948733883238,0.016829613888593845,181.8948733883238,0.02391453986612073,212.78800360377028,0.0027372440369380535,1787841556.4019566
square,384,21246646,177,cpu,9.177879261718488,0.0003070999955525622,9.991221599993878,0.042670300012105145,10.034199000001536,150.9510971674586,182.27753847727172,182.3418015138771,182.6766843213648,183.14695500748127,183.34695030387348,183.54132247632054,183.706196835644,184.41119373935294,185.0686191893809,186.68499144762006,213.1796215074816,19,151.0017431728773,0.0003354001374719331,181.8948733883238,0.002103770611121001,181.8948733883238,0.002457068290205053,181.8948733883238,0.004298147157627375,181.8948733883238,0.00688354540088898,181.8948733883238,0.007983055753581828,181.8948733883238,0.009051651964273811,181.8948733883238,0.009958078606499518,181.8948733883238,0.013833926730068462,181.8948733883238,0.01744824217382727,181.8948733883238,0.02633454132085376,212.78800360377028,0.0018404134494375054,1787841566.447728
